# Quarter-end close prices from Stooq
ticker,period,close
MFA,2021-03-31,13.5678
MFA,2021-06-30,15.6307
MFA,2021-09-30,15.9024
MFA,2021-12-31,16.2528
MFA,2022-03-31,14.7461
MFA,2022-06-30,10.2268
MFA,2022-09-30,7.78
MFA,2022-12-31,9.85
MFA,2023-03-31,9.92
MFA,2023-06-30,11.24
MFA,2023-09-30,9.61
MFA,2023-12-31,11.27
MFA,2024-03-31,11.41
MFA,2024-06-30,10.64
MFA,2024-09-30,12.72
MFA,2024-12-31,10.19
MFA,2025-03-31,10.26
MFA,2025-06-30,9.46
MFA,2025-09-30,9.19
MFA,2025-12-31,9.31
MFA,2026-03-31,9.67
ADAM,2005-03-31,68.9605
ADAM,2005-06-30,61.1967
ADAM,2005-09-30,50.4081
ADAM,2005-12-31,44.6708
ADAM,2006-03-31,36.4419
ADAM,2006-06-30,26.9883
ADAM,2006-09-30,26.0411
ADAM,2006-12-31,20.5794
ADAM,2007-03-31,17.138
ADAM,2007-06-30,12.8878
ADAM,2007-09-30,5.6678
ADAM,2007-12-31,5.80272
ADAM,2008-03-31,3.64419
ADAM,2008-06-30,4.18388
ADAM,2008-09-30,2.1387
ADAM,2008-12-31,1.48505
ADAM,2009-03-31,2.56449
ADAM,2009-06-30,3.48174
ADAM,2009-09-30,5.12835
ADAM,2009-12-31,4.85144
ADAM,2010-03-31,5.09378
ADAM,2010-06-30,4.46454
ADAM,2010-09-30,4.22102
ADAM,2010-12-31,4.6998
ADAM,2011-03-31,4.89367
ADAM,2011-06-30,5.31207
ADAM,2011-09-30,5.14593
ADAM,2011-12-31,5.58842
ADAM,2012-03-31,5.25936
ADAM,2012-06-30,5.88691
ADAM,2012-09-30,6.11256
ADAM,2012-12-31,5.71377
ADAM,2013-03-31,7.06816
ADAM,2013-06-30,6.60465
ADAM,2013-09-30,6.33951
ADAM,2013-12-31,7.3744
ADAM,2014-03-31,8.49611
ADAM,2014-06-30,8.82555
ADAM,2014-09-30,8.46416
ADAM,2014-12-31,9.34153
ADAM,2015-03-31,9.73116
ADAM,2015-06-30,9.70846
ADAM,2015-09-30,7.39182
ADAM,2015-12-31,7.48319
ADAM,2016-03-31,6.98982
ADAM,2016-06-30,9.35242
